IDS_SCENARIO_GAISERIC "Gaiseric (406)"
IDS_SCENARIO_GAISERIC_HELP_TEXT "Gaiseric (406-455):\nEstimated completion time: 2-3 hours.\nIn the height of winter, the Vandals cross the Rhine River. Led by the brothers Gunderic and Gaiseric, they undertake a great raiding migration that will lead them from the forests of Gaul to the deserts of Carthage and beyond. Will the Vandals seeking a new home bring the Roman Empire to its end?\n\nIn this scenario, you will play as the Goths."
IDS_SCENARIO_VORTIGERN "Vortigern (440)"
IDS_SCENARIO_VORTIGERN_HELP_TEXT "Vortigern (440-500):\nEstimated completion time: 1 hour.\nAbandoned by the Roman Emperor, Britain is alone and surrounded by hostile barbarians. But salvation comes in the form of rough Saxon warriors. Will a deal struck with these newcomers save Britain or usher in a new barbaric age?\n\nIn this scenario, you will play as the Britons."
IDS_SCENARIO_CHARLEMAGNE "Charlemagne (768)"
IDS_SCENARIO_CHARLEMAGNE_HELP_TEXT "Charlemagne (768-814):\nEstimated completion time: 2 hours.\nOn the death of Pepin the Short, the Frankish kingdom is divided between his two sons, Charles and Carloman. Only one of these two men will, by force and iron, become Europe's most famous and influential king.\n\nIn this scenario, you will play as the Franks."
IDS_SCENARIO_RAGNAR "Ragnar (850)"
IDS_SCENARIO_RAGNAR_HELP_TEXT "Ragnar Lothbrok (c. 9th century):\nEstimated completion time: 4-6 hours.\nThe skalds sing of many Viking heroes but none is more famed than Ragnar Lothbrok. The Viking king emerged from obscurity to rule the north and become the inspiration for the Great Heathen Army. Can Ragnar sail again and become a legend of the sagas?\n\nIn this scenario, you will play as the Vikings."
IDS_SCENARIO_IRONSIDE "Ironside (859)"
IDS_SCENARIO_IRONSIDE_HELP_TEXT "Bjorn Ironside (859-861):\nEstimated completion time: 2 hours.\nAs a son of Ragnar Lothbrok, Bjorn Ironside is driven to exceed the exploits of his famous father. In the year 859, he crosses the Strait of Gibraltar into the 'Tideless Sea' to plunder the rich cities that have never before known Viking raids. Will the skalds sing of Bjorn and his Vikings or will the Mediterranean swallow these intrepid adventurers?\n\nIn this scenario, you will play as the Vikings."
IDS_SCENARIO_FINEHAIR "Finehair (870)"
