// overflow areas start at 449000, with 100 lines for each scenario starting at 
// 449000 + (scenarioNo - 1) * 100

//
// Scenario One
//

444000 "<ORANGE>Artaphernes: Ah, the glorious stench of a siege camp. Let's get these supplies to the front."
444001 "<PURPLE>King Darius: You've a talent for logistics, Artaphernes."
444002 "<ORANGE>Artaphernes: A glorified muleteer. What grand rewards come from being brother to the Great King."
444003 "<PURPLE>King Darius: Half-brother. And it is only thanks to me that you have any authority whatsoever. Now observe: the final assault is about to begin."
444004 "<PURPLE>King Darius: Half-brother. And it is only thanks to me that you have any authority whatsoever. Now, you have one more task: deliver this bribe, and ensure that the mercenaries in Babylon give us no trouble."
444005 "<ORANGE>Artaphernes: This cart is stuffed with enough jewels and golden drinking bowls to make you the richest man of any town you might choose. When the time comes, your men will repay their master, understood?"
444006 "<PURPLE>King Darius: Fine work, little brother, and just in time: our sappers have almost finished undermining the lapis-lined walls."
444007 "<ORANGE>Datis: My lord, the Babylonians sally out to attack our siegeworks!"
444008 "<PURPLE>King Darius: Daiva-worshipping dogs! Well-spotted, general — defend the sappers!"
444009 "<ORANGE>Datis: They pour forth again — hold, men!"
444010 "<ORANGE>Datis: They’ve collapsed one of the tunnels!"
444011 "<ORANGE>Datis: One of the tunnels has collapsed!"
444012 "<ORANGE>Datis: They've taken out one of our tunnels!"
444013 "<PURPLE>King Darius: See, Babylonians: Marduk forsakes you! Your walls are but wind-blown sand. Datis, my most dependable general: I give you the honor of leading the assault."
444014 "<PURPLE>King Darius: Use these gold darics to bribe whomever you must."
444015 "<PURPLE>King Darius: None of these gluttonous Babylonians can ever resist gold — not even their garrison commanders."
444016 "<ORANGE>Datis: Into the city, men! Take out their command posts."
444017 "<PURPLE>King Darius: Fine work, Datis. My cavalry will take things from here."
444018 "<ORANGE>Datis: Ambush! Ambush! Pull back!"
444019 "<PURPLE>King Darius: Three-mouthed Dahāka! No matter — engineers, divert this obstinate river, and we shall walk right across!"
444020 "<ORANGE>Datis: Across we go, men! Keep those bows above the water, and on to the palace!"
444021 "<GREY>Mercenary Leader: You fight for the Persians now, lads — it's all been arranged."
444022 "<GREY>Mercenary Leader: Change of plan, boys — you're Persian mercenaries now."
444023 "<GREY>Mercenary Leader: The Babylonians got outbid — you men fight for the Persians now."
444024 "<GREY>Mercenary Leader: You've got a new master now, boys."
444025 "<GREY>Mercenary Leader: Help the Persians, and try not to get killed, lads — we're going to be rich men after this."
444026 "<ORANGE>Datis: Onwards, men! These Babylonians, so used to soft living, cannot withstand our strength!"
444027 "<ORANGE>Datis: Courage, men! The light of Ahuramazda guides our arrows!"
444028 "<PURPLE>King Darius: Glorious work, Datis! Watch closely, Artaphernes: you might learn a thing or two."
444029 "<PURPLE>King Darius: Bring up the siege weapons!"
444030 "<PURPLE>King Darius: Crush all who stand in our way!"
444031 "<ORANGE>Datis: Some desperate fool tried to escape with this gold. Seize it."
444032 "<ORANGE>Datis: Seize that gold — whoever was trying to smuggle it out is either dead or long gone."
444033 "<ORANGE>Datis: Grab that gold, men — its owner will have little use for it now."
444034 "<ORANGE>Datis: You will receive further rewards when we are victorious."
444035 "<ORANGE>Datis: The Great King rewards his servants well."
444036 "<ORANGE>Datis: It should not take gold to make you see the Great King's righteousness."
444037 "<ORANGE>Datis: Hanging gardens… And I thought these were found only at Nineveh."
444038 "<ORANGE>Datis: Seize the palace, and end this!"
444039 "<PURPLE>King Darius: Bear witness, men of Babylon: your gates, your gods, your armies will not hold me back. For my kingdom was granted me by Ahuramazda, and blessed by all the gods who are. Now, bow!"
444040 "1. Prologue: Gates of the Gods"
444041 "Mesopotamia, 522 BCE"
444042 "There are few cities as wondrous as Babylon. Regrettably for the Babylonians, there are few mistakes as fatal as defying the Great King of Persia."
444043 "Artaphernes"
444044 "King Darius"
444045 "Datis"
444046 "Mercenary Leader"
444047 "Persians"
444048 "Babylon"
